time,OBS1,OBS2
1180.000000000,0.8697225350,0.4677094426E-38
1190.000000000,0.8752510304,0.8950403157E-38
1200.000000000,0.8803251054,0.1703864483E-37
1210.000000000,0.8849294962,0.3226857515E-37
1220.000000000,0.8890452966,0.6079986696E-37
1230.000000000,0.8926500349,0.1139800692E-36
1240.000000000,0.8957178548,0.2126099288E-36
1250.000000000,0.8982198037,0.3946307775E-36
1260.000000000,0.9001242272,0.7289121064E-36
1270.000000000,0.9013972691,0.1339861056E-35
1280.000000000,0.9020034670,0.2451138974E-35
1290.000000000,0.9019064343,0.4462954454E-35
1300.000000000,0.9010696131,0.8088085025E-35
1310.000000000,0.8994570809,0.1459014806E-34
1320.000000000,0.8970343905,0.2619908099E-34
1330.000000000,0.8937694218,0.4683236059E-34
1340.000000000,0.8896332229,0.8334136004E-34
1350.000000000,0.8846008163,0.1476557020E-33
1360.000000000,0.8786519495,0.2604564938E-33
1370.000000000,0.8717717689,0.4574413040E-33
1380.000000000,0.8639513980,0.7999638251E-33
1390.000000000,0.8551884051,0.1393026446E-32
1400.000000000,0.8454871493,0.2415579591E-32
1410.000000000,0.8348589944,0.4171333931E-32
1420.000000000,0.8233223887,0.7173622589E-32
1430.000000000,0.8109028085,0.1228655429E-31
1440.000000000,0.7976325705,0.2095885095E-31
1450.000000000,0.7835505185,0.3560968356E-31
1460.000000000,0.7687015956,0.6026279412E-31
1470.000000000,0.7531363143,0.1015846008E-30
1480.000000000,0.7369101397,0.1705770727E-30
1490.000000000,0.7200828027,0.2853277743E-30
1500.000000000,0.7027175601,0.4754602912E-30
1510.000000000,0.6848804195,0.7893093065E-30
1520.000000000,0.6666393475,0.1305445309E-29
1530.000000000,0.6480634773,0.2151117400E-29
1540.000000000,0.6292223326,0.3531659098E-29
1550.000000000,0.6101850802,0.5777204005E-29
1560.000000000,0.5910198269,0.9416634491E-29
1570.000000000,0.5717929689,0.1529422260E-28
1580.000000000,0.5525686030,0.2475296204E-28
1590.000000000,0.5334080066,0.3992171653E-28
1600.000000000,0.5143691902,0.6416341692E-28
1610.000000000,0.4955065251,0.1027722332E-27
1620.000000000,0.4768704469,0.1640543426E-27
1630.000000000,0.4585072330,0.2609977106E-27
1640.000000000,0.4404588527,0.4138432844E-27
1650.000000000,0.4227628838,0.6540311127E-27
1660.000000000,0.4054524944,0.1030236761E-26
1670.000000000,0.3885564796,0.1617575253E-26
1680.000000000,0.3720993514,0.2531589415E-26
1690.000000000,0.3561014721,0.3949441744E-26
1700.000000000,0.3405792255,0.6141917667E-26
1710.000000000,0.3255452200,0.9521604010E-26
1720.000000000,0.3110085159,0.1471519221E-25
1730.000000000,0.2969748713,0.2267165135E-25
1740.000000000,0.2834470007,0.3482357076E-25
1750.000000000,0.2704248416,0.5332707566E-25
1760.000000000,0.2579058226,0.8141750657E-25
1770.000000000,0.2458851315,0.1239351464E-24
1780.000000000,0.2343559767,0.1880999931E-24
1790.000000000,0.2233098412,0.2846502022E-24
1800.000000000,0.2127367259,0.4295100292E-24
1810.000000000,0.2026253796,0.6462264896E-24
1820.000000000,0.1929635148,0.9695188194E-24
1830.000000000,0.1837380090,0.1450434250E-23
1840.000000000,0.1749350884,0.2163815920E-23
1850.000000000,0.1665404971,0.3219089563E-23
1860.000000000,0.1585396486,0.4775800627E-23
1870.000000000,0.1509177623,0.7065932291E-23
1880.000000000,0.1436599836,0.1042587623E-22
1890.000000000,0.1367514902,0.1534210697E-22
1900.000000000,0.1301775830,0.2251625809E-22
1910.000000000,0.1239237650,0.3295759464E-22
1920.000000000,0.1179758071,0.4811406727E-22
1930.000000000,0.1123198036,0.7005755813E-22
1940.000000000,0.1069422162,0.1017450433E-21
1950.000000000,0.1018299096,0.1473858322E-21
1960.000000000,0.9697017857E-01,0.2129566447E-21
1970.000000000,0.9235076775E-01,0.3069221968E-21
1980.000000000,0.8795988482E-01,0.4412407452E-21
1990.000000000,0.8378620815E-01,0.6327637540E-21
2000.000000000,0.7981888955E-01,0.9051793090E-21
2010.000000000,0.7604755286E-01,0.1291703844E-20
2020.000000000,0.7246228917E-01,0.1838801170E-20
2030.000000000,0.6905364898E-01,0.2611308355E-20
2040.000000000,0.6581263216E-01,0.3699483573E-20
2050.000000000,0.6273067591E-01,0.5228673295E-20
2060.000000000,0.5979964133E-01,0.7372540709E-20
2070.000000000,0.5701179886E-01,0.1037112445E-19
2080.000000000,0.5435981295E-01,0.1455543346E-19
2090.000000000,0.5183672616E-01,0.2038086561E-19
2100.000000000,0.4943594311E-01,0.2847251048E-19
2110.000000000,0.4715121423E-01,0.3968642136E-19
2120.000000000,0.4497661964E-01,0.5519229647E-19
2130.000000000,0.4290655323E-01,0.7658479700E-19
2140.000000000,0.4093570713E-01,0.1060330832E-18
2150.000000000,0.3905905643E-01,0.1464812404E-18
2160.000000000,0.3727184457E-01,0.2019163180E-18
2170.000000000,0.3556956909E-01,0.2777259991E-18
2180.000000000,0.3394796803E-01,0.3811748290E-18
2190.000000000,0.3240300685E-01,0.5220369228E-18
2200.000000000,0.3093086600E-01,0.7134347524E-18
2210.000000000,0.2952792901E-01,0.9729487503E-18
2220.000000000,0.2819077122E-01,0.1324082040E-17
2230.000000000,0.2691614909E-01,0.1798189864E-17
2240.000000000,0.2570099004E-01,0.2437015782E-17
2250.000000000,0.2454238290E-01,0.3296018522E-17
2260.000000000,0.2343756880E-01,0.4448726893E-17
2270.000000000,0.2238393266E-01,0.5992428708E-17
2280.000000000,0.2137899514E-01,0.8055587169E-17
2290.000000000,0.2042040504E-01,0.1080748957E-16
2300.000000000,0.1950593212E-01,0.1447077488E-16
2310.000000000,0.1863346044E-01,0.1933766663E-16
2320.000000000,0.1780098195E-01,0.2579096486E-16
2330.000000000,0.1700659059E-01,0.3433113889E-16
2340.000000000,0.1624847664E-01,0.4561122476E-16
2350.000000000,0.1552492150E-01,0.6048168818E-16
2360.000000000,0.1483429267E-01,0.8004798621E-16
2370.000000000,0.1417503915E-01,0.1057442798E-15
2380.000000000,0.1354568697E-01,0.1394276478E-15
2390.000000000,0.1294483513E-01,0.1834982742E-15
2400.000000000,0.1237115168E-01,0.2410524789E-15
2410.000000000,0.1182337004E-01,0.3160772006E-15
2420.000000000,0.1130028558E-01,0.4136966959E-15
2430.000000000,0.1080075235E-01,0.5404848932E-15
2440.000000000,0.1032368004E-01,0.7048601428E-15
2450.000000000,0.9868031045E-02,0.9175831809E-15
2460.000000000,0.9432817801E-02,0.1192384148E-14
2470.000000000,0.9017100167E-02,0.1546750675E-14
2480.000000000,0.8619983022E-02,0.2002916617E-14
2490.000000000,0.8240613967E-02,0.2589100313E-14
2500.000000000,0.7878181165E-02,0.3341052552E-14
2510.000000000,0.7531911292E-02,0.4303988300E-14
2520.000000000,0.7201067611E-02,0.5534993064E-14
2530.000000000,0.6884948138E-02,0.7106015272E-14
2540.000000000,0.6582883918E-02,0.9107580891E-14
2550.000000000,0.6294237385E-02,0.1165339662E-13
2560.000000000,0.6018400821E-02,0.1488604438E-13
2570.000000000,0.5754794879E-02,0.1898401379E-13
2580.000000000,0.5502867205E-02,0.2417037219E-13
2590.000000000,0.5262091114E-02,0.3072343546E-13
2600.000000000,0.5031964347E-02,0.3898987917E-13
2610.000000000,0.4812007889E-02,0.4940082138E-13
2620.000000000,0.4601764844E-02,0.6249151754E-13
