time,SFTREACH1LEAKAGE,SFTREACH12LEAKAGE,SFTREACH24LEAKAGE
10.00000000000,1.000000,1.000000,1.000000
20.00000000000,1.000000,1.000000,1.000000
30.00000000000,1.000000,1.000000,1.000000
40.00000000000,1.000000,1.000000,1.000000
50.00000000000,1.000000,1.000000,1.000000
60.00000000000,1.000000,1.000000,1.000000
70.00000000000,1.000000,1.000000,1.000000
80.00000000000,1.000000,1.000000,1.000000
90.00000000000,1.000000,1.000000,1.000000
100.0000000000,1.000000,1.000000,1.000000
110.0000000000,1.000000,1.000000,1.000000
120.0000000000,1.000000,1.000000,1.000000
130.0000000000,1.000000,1.000000,1.000000
140.0000000000,1.000000,1.000000,1.000000
150.0000000000,1.000000,1.000000,1.000000
160.0000000000,1.000000,1.000000,1.000000
170.0000000000,1.000000,1.000000,1.000000
180.0000000000,1.000000,1.000000,1.000000
190.0000000000,1.000000,1.000000,1.000000
200.0000000000,1.000000,1.000000,1.000000
210.0000000000,1.000000,1.000000,1.000000
220.0000000000,1.000000,1.000000,1.000000
230.0000000000,1.000000,1.000000,1.000000
240.0000000000,1.000000,1.000000,1.000000
250.0000000000,1.000000,1.000000,1.000000
260.0000000000,1.000000,1.000000,1.000000
270.0000000000,1.000000,1.000000,1.000000
280.0000000000,1.000000,1.000000,1.000000
290.0000000000,1.000000,1.000000,1.000000
300.0000000000,1.000000,1.000000,1.000000
310.0000000000,1.000000,1.000000,1.000000
320.0000000000,1.000000,1.000000,1.000000
330.0000000000,1.000000,1.000000,1.000000
340.0000000000,1.000000,1.000000,1.000000
350.0000000000,1.000000,1.000000,1.000000
360.0000000000,1.000000,1.000000,1.000000
370.0000000000,1.000000,1.000000,1.000000
380.0000000000,1.000000,1.000000,1.000000
390.0000000000,1.000000,1.000000,1.000000
400.0000000000,1.000000,1.000000,1.000000
410.0000000000,1.000000,1.000000,1.000000
420.0000000000,1.000000,1.000000,1.000000
430.0000000000,1.000000,1.000000,1.000000
440.0000000000,1.000000,1.000000,1.000000
450.0000000000,1.000000,1.000000,1.000000
460.0000000000,1.000000,1.000000,1.000000
470.0000000000,1.000000,1.000000,1.000000
480.0000000000,1.000000,1.000000,1.000000
490.0000000000,1.000000,1.000000,1.000000
500.0000000000,1.000000,1.000000,1.000000
510.0000000000,1.000000,1.000000,1.000000
520.0000000000,1.000000,1.000000,1.000000
530.0000000000,1.000000,1.000000,1.000000
540.0000000000,1.000000,1.000000,1.000000
550.0000000000,1.000000,1.000000,1.000000
560.0000000000,1.000000,1.000000,1.000000
570.0000000000,1.000000,1.000000,1.000000
580.0000000000,1.000000,1.000000,1.000000
590.0000000000,1.000000,1.000000,1.000000
600.0000000000,1.000000,1.000000,1.000000
610.0000000000,1.000000,1.000000,1.000000
620.0000000000,1.000000,1.000000,1.000000
630.0000000000,1.000000,1.000000,1.000000
640.0000000000,1.000000,1.000000,1.000000
650.0000000000,1.000000,1.000000,1.000000
660.0000000000,1.000000,1.000000,1.000000
670.0000000000,1.000000,1.000000,1.000000
680.0000000000,1.000000,1.000000,1.000000
690.0000000000,1.000000,1.000000,1.000000
700.0000000000,1.000000,1.000000,1.000000
710.0000000000,1.000000,1.000000,1.000000
720.0000000000,1.000000,1.000000,1.000000
730.0000000000,1.000000,1.000000,1.000000
740.0000000000,0.2016831E-02,1.000000,1.000000
750.0000000000,0.4067609E-05,1.000000,1.000000
760.0000000000,0.8203681E-08,1.000000,1.000000
770.0000000000,0.1654544E-10,1.000000,1.000000
780.0000000000,0.3336937E-13,1.000000,1.000000
790.0000000000,0.6730039E-16,1.000000,1.000000
800.0000000000,0.1357335E-18,1.000000,1.000000
810.0000000000,0.2737516E-21,1.000000,1.000000
820.0000000000,0.5521109E-24,1.000000,1.000000
830.0000000000,0.1113515E-26,1.000000,1.000000
840.0000000000,0.2245771E-29,1.000000,1.000000
850.0000000000,0.4529342E-32,1.000000,1.000000
860.0000000000,0.9134919E-35,1.000000,1.000000
870.0000000000,0.1842359E-37,1.000000,1.000000
880.0000000000,0.3715728E-40,1.000000,1.000000
890.0000000000,0.7493996E-43,1.000000,1.000000
900.0000000000,0.1511413E-45,1.000000,1.000000
910.0000000000,0.3048265E-48,1.000000,1.000000
920.0000000000,0.6147836E-51,1.000000,1.000000
930.0000000000,0.1239915E-53,1.000000,1.000000
940.0000000000,0.2500699E-56,1.000000,1.000000
950.0000000000,0.5043488E-59,1.000000,1.000000
960.0000000000,0.1017187E-61,1.000000,1.000000
970.0000000000,0.2051494E-64,1.000000,1.000000
980.0000000000,0.4137517E-67,1.000000,1.000000
990.0000000000,0.8344674E-70,1.000000,1.000000
1000.000000000,0.1682980E-72,1.000000,1.000000
1010.000000000,0.3394287E-75,1.000000,1.000000
1020.000000000,0.6845705E-78,1.000000,1.000000
1030.000000000,0.1380663E-80,1.000000,1.000000
1040.000000000,0.2784565E-83,1.000000,1.000000
1050.000000000,0.5615998E-86,1.000000,1.000000
1060.000000000,0.1132652E-88,1.000000,1.000000
1070.000000000,0.2284368E-91,1.000000,1.000000
1080.000000000,0.4607186E-94,1.000000,1.000000
1090.000000000,0.9291917E-97,1.000000,1.000000
1100.000000000,0.1874023E-99,1.000000,1.000000
1110.000000000,0.3779588-102,1.000000,1.000000
1120.000000000,0.7622792-105,1.000000,1.000000
1130.000000000,0.1537389-107,1.000000,1.000000
1140.000000000,0.3100654-110,1.000000,1.000000
1150.000000000,0.6253496-113,1.000000,1.000000
1160.000000000,0.1261225-115,1.000000,1.000000
1170.000000000,0.2543678-118,1.000000,1.000000
1180.000000000,0.5130168-121,1.000000,1.000000
1190.000000000,0.1034668-123,1.000000,1.000000
1200.000000000,0.2086752-126,1.000000,1.000000
1210.000000000,0.4208626-129,1.000000,1.000000
1220.000000000,0.8488089-132,1.000000,1.000000
1230.000000000,0.1711904-134,1.000000,1.000000
1240.000000000,0.3452622-137,1.000000,1.000000
1250.000000000,0.6963357-140,1.000000,1.000000
1260.000000000,0.1404392-142,1.000000,1.000000
1270.000000000,0.2832421-145,1.000000,1.000000
1280.000000000,0.5712515-148,1.000000,1.000000
1290.000000000,0.1152118-150,1.000000,1.000000
1300.000000000,0.2323627-153,1.000000,1.000000
1310.000000000,0.4686364-156,1.000000,1.000000
1320.000000000,0.9451605-159,1.000000,1.000000
1330.000000000,0.1906229-161,1.000000,1.000000
1340.000000000,0.3844542-164,1.000000,1.000000
1350.000000000,0.7753791-167,1.000000,1.000000
1360.000000000,0.1563809-169,1.000000,1.000000
1370.000000000,0.3153937-172,1.000000,1.000000
1380.000000000,0.6360958-175,1.000000,1.000000
1390.000000000,0.1282898-177,1.000000,1.000000
1400.000000000,0.2587389-180,1.000000,1.000000
1410.000000000,0.5218327-183,1.000000,1.000000
1420.000000000,0.1052449-185,1.000000,1.000000
1430.000000000,0.2122612-188,1.000000,1.000000
1440.000000000,0.4280950-191,1.000000,1.000000
1450.000000000,0.8633954-194,1.000000,1.000000
1460.000000000,0.1741323-196,1.000000,1.000000
1470.000000000,0.3511955-199,1.000000,1.000000
1480.000000000,0.7083021-202,1.000000,1.000000
1490.000000000,0.1428526-204,1.000000,1.000000
1500.000000000,0.2881096-207,1.000000,1.000000
1510.000000000,0.5810684-210,1.000000,1.000000
1520.000000000,0.1171917-212,1.000000,1.000000
1530.000000000,0.2363559-215,1.000000,1.000000
1540.000000000,0.4766900-218,1.000000,1.000000
1550.000000000,0.9614034-221,1.000000,1.000000
1560.000000000,0.1938989-223,1.000000,1.000000
1570.000000000,0.3910613-226,1.000000,1.000000
1580.000000000,0.7887047-229,1.000000,1.000000
1590.000000000,0.1590684-231,1.000000,1.000000
1600.000000000,0.3208142-234,1.000000,1.000000
1610.000000000,0.6470282-237,1.000000,1.000000
1620.000000000,0.1304947-239,1.000000,1.000000
1630.000000000,0.2631858-242,1.000000,1.000000
1640.000000000,0.5308013-245,1.000000,1.000000
1650.000000000,0.1070537-247,1.000000,1.000000
1660.000000000,0.2159092-250,1.000000,1.000000
1670.000000000,0.4354525-253,1.000000,1.000000
1680.000000000,0.8782342-256,1.000000,1.000000
1690.000000000,0.1771250-258,1.000000,1.000000
1700.000000000,0.3572313-261,1.000000,1.000000
1710.000000000,0.7204753-264,1.000000,1.000000
1720.000000000,0.1453077-266,1.000000,1.000000
1730.000000000,0.2930612-269,1.000000,1.000000
1740.000000000,0.5910550-272,1.000000,1.000000
1750.000000000,0.1192058-274,1.000000,1.000000
1760.000000000,0.2404181-277,1.000000,1.000000
1770.000000000,0.4848827-280,1.000000,1.000000
1780.000000000,0.9779266-283,1.000000,1.000000
1790.000000000,0.1972313-285,1.000000,1.000000
1800.000000000,0.3977823-288,1.000000,1.000000
1810.000000000,0.8022598-291,1.000000,1.000000
1820.000000000,0.1618023-293,1.000000,1.000000
1830.000000000,0.3263279-296,1.000000,1.000000
1840.000000000,0.6581484-299,1.000000,1.000000
1850.000000000,0.1327374-301,1.000000,1.000000
1860.000000000,0.2677723-304,1.000000,1.000000
1870.000000000,0.3752328-307,1.000000,1.000000
1880.000000000,0.000000,1.000000,1.000000
1890.000000000,0.000000,1.000000,1.000000
1900.000000000,0.000000,1.000000,1.000000
1910.000000000,0.000000,1.000000,1.000000
1920.000000000,0.000000,1.000000,1.000000
1930.000000000,0.000000,1.000000,1.000000
1940.000000000,0.000000,1.000000,1.000000
1950.000000000,0.000000,1.000000,1.000000
1960.000000000,0.000000,1.000000,1.000000
1970.000000000,0.000000,1.000000,1.000000
1980.000000000,0.000000,1.000000,1.000000
1990.000000000,0.000000,1.000000,1.000000
2000.000000000,0.000000,1.000000,1.000000
2010.000000000,0.000000,1.000000,1.000000
2020.000000000,0.000000,1.000000,1.000000
2030.000000000,0.000000,1.000000,1.000000
2040.000000000,0.000000,1.000000,1.000000
2050.000000000,0.000000,1.000000,1.000000
2060.000000000,0.000000,1.000000,1.000000
2070.000000000,0.000000,1.000000,1.000000
2080.000000000,0.000000,1.000000,1.000000
2090.000000000,0.000000,1.000000,1.000000
2100.000000000,0.000000,1.000000,1.000000
2110.000000000,0.000000,1.000000,1.000000
2120.000000000,0.000000,1.000000,1.000000
2130.000000000,0.000000,1.000000,1.000000
2140.000000000,0.000000,1.000000,1.000000
2150.000000000,0.000000,1.000000,1.000000
2160.000000000,0.000000,1.000000,1.000000
2170.000000000,0.000000,1.000000,1.000000
2180.000000000,0.000000,1.000000,1.000000
2190.000000000,0.000000,1.000000,1.000000
2200.000000000,0.000000,1.000000,1.000000
2210.000000000,0.000000,1.000000,1.000000
2220.000000000,0.000000,1.000000,1.000000
2230.000000000,0.000000,1.000000,1.000000
2240.000000000,0.000000,1.000000,1.000000
2250.000000000,0.000000,1.000000,1.000000
2260.000000000,0.000000,1.000000,1.000000
2270.000000000,0.000000,1.000000,1.000000
2280.000000000,0.000000,1.000000,1.000000
2290.000000000,0.000000,1.000000,1.000000
2300.000000000,0.000000,1.000000,1.000000
2310.000000000,0.000000,1.000000,1.000000
2320.000000000,0.000000,1.000000,1.000000
2330.000000000,0.000000,1.000000,1.000000
2340.000000000,0.000000,1.000000,1.000000
2350.000000000,0.000000,1.000000,1.000000
2360.000000000,0.000000,1.000000,1.000000
2370.000000000,0.000000,1.000000,1.000000
2380.000000000,0.000000,1.000000,1.000000
2390.000000000,0.000000,1.000000,1.000000
2400.000000000,0.000000,1.000000,1.000000
2410.000000000,0.000000,1.000000,1.000000
2420.000000000,0.000000,1.000000,1.000000
2430.000000000,0.000000,1.000000,1.000000
2440.000000000,0.000000,1.000000,1.000000
2450.000000000,0.000000,1.000000,1.000000
2460.000000000,0.000000,1.000000,1.000000
2470.000000000,0.000000,1.000000,1.000000
2480.000000000,0.000000,1.000000,1.000000
2490.000000000,0.000000,1.000000,1.000000
2500.000000000,0.000000,1.000000,1.000000
2510.000000000,0.000000,1.000000,1.000000
2520.000000000,0.000000,1.000000,1.000000
2530.000000000,0.000000,1.000000,1.000000
2540.000000000,0.000000,1.000000,1.000000
2550.000000000,0.000000,1.000000,1.000000
2560.000000000,0.000000,1.000000,1.000000
2570.000000000,0.000000,1.000000,1.000000
2580.000000000,0.000000,1.000000,1.000000
2590.000000000,0.000000,1.000000,1.000000
2600.000000000,0.000000,1.000000,1.000000
2610.000000000,0.000000,1.000000,1.000000
2620.000000000,0.000000,1.000000,1.000000
2630.000000000,0.000000,1.000000,1.000000
2640.000000000,0.000000,1.000000,1.000000
2650.000000000,0.000000,1.000000,1.000000
2660.000000000,0.000000,1.000000,1.000000
2670.000000000,0.000000,1.000000,1.000000
